Registro N°,N° L. Venta,Producto,Registrante,P.Activo,Situación,Formulacion,Fabricante,País Origen,Resolución,Habilitación,Vencimiento,Mantenimiento,Clase de Uso,Toxicologia
7160,0,FLUMIOXAZIN 97%                                                                                                                                                                                         ,TECNOMYL S.A.                                                                                       , FLUMIOXAZIN 97.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,"SHANDONG BINNONG TECHNOLOGY CO., LTD.                                                ",CHINA               ,644/2022       ,2022-10-06,2027-10-06,2024-03-31,HERBICIDA,IV                  
7161,6561,TRIVOR                                                                                                                                                                                                  ,ADAMA PARAGUAY S.R.L.                                                                               , ACETAMIPRID 18.600 %; PIRIPROXIFEN 12.400 %,DEFINITIVO          ,CONCENTRADO DISPERSABLE (DC)                                                                        ,ADAMA MAKHTESHIM LTD                                                                 ,ISRAEL              ,644/2022       ,2022-10-06,2027-10-06,2024-03-31,INSECTICIDA,II                  
7162,6562,SIOUX® 300                                                                                                                                                                                              ,SOMAX AGRO S.A.                                                                                     , GLUFOSINATO-P 30.000 %,DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,"CHIZHOU BIOGRILAND MULTICHEM CO., LTD.                                               ",CHINA               ,644/2022       ,2022-10-06,2027-10-06,2024-03-31,HERBICIDA,IV                  
7163,6563,PRECISO®                                                                                                                                                                                                ,INVERSIONES AGRICOLAS S.A.                                                                          , CLODINAFOP PROPARGILICO 24.000 %; CLOQUINTOCET MEXILO 6.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,SHANGHAI E-TONG CHEMICAL CO. LTD.                                                    ,CHINA               ,644/2022       ,2022-10-06,2027-10-06,2024-03-31,HERBICIDA,III                 
7164,6564,CLORANTRA 80 WG                                                                                                                                                                                         ,ADAKEM S.A.                                                                                         , CLORANTRANILIPROL 80.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,"SINOAGRO CHEMICALS CO., LTD                                                          ",CHINA               ,644/2022       ,2022-10-06,2027-10-06,2024-03-31,INSECTICIDA,IV                  
7165,6565,SHUTDOWN                                                                                                                                                                                                ,UPL PARAGUAY S.A.                                                                                   , SULFENTRAZONA 50.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,UPL LIMITED                                                                          ,INDIA               ,644/2022       ,2022-10-06,2027-10-06,2024-03-31,HERBICIDA,II                  
7166,0,DICAMBA 98%                                                                                                                                                                                             ,AKTRA S.A.                                                                                          , DICAMBA 98.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,"WEIFANG SINO-AGRI UNION CHEMICAL CO., LTD                                            ",CHINA               ,644/2022       ,2022-10-06,2027-10-06,2024-03-31,HERBICIDA,IV                  
7167,0,"TRIFLOXISTROBINA 97,5%                                                                                                                                                                                  ",AGROFUTURO PARAGUAY S.A.                                                                            , TRIFLOXISTROBINA 97.500 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,HIKAL LIMITED                                                                        ,INDIA               ,644/2022       ,2022-10-06,2027-10-06,2024-03-31,FUNGICIDA,IV                  
7168,0,CLORANTRANILIPROL 96%                                                                                                                                                                                   ,ADAKEM S.A.                                                                                         , CLORANTRANILIPROL 96.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,QINGDAO HENGNING BIOTECHNOLOGY CO. LTD.                                              ,CHINA               ,644/2022       ,2022-10-06,2027-10-06,2024-03-31,INSECTICIDA,IV                  
7169,6566,CLORATOXAN 25                                                                                                                                                                                           ,ADAKEM S.A.                                                                                         , CLORANTRANILIPROL 22.000 %; TIAMETOXAM 25.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,"SINOAGRO CHEMICALS CO., LTD                                                          ",CHINA               ,644/2022       ,2022-10-06,2027-10-06,2024-03-31,INSECTICIDA,IV                  
7170,0,TIAMETOXAM 98%                                                                                                                                                                                          ,ADAKEM S.A.                                                                                         , TIAMETOXAM 98.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,"SINOAGRO CHEMICALS CO., LTD                                                          ",CHINA               ,644/2022       ,2022-10-06,2027-10-06,2024-03-31,INSECTICIDA,IV                  
7171,0,CLORANTRANILIPROL 95%                                                                                                                                                                                   ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A.(CIAGROPA)                                                    , CLORANTRANILIPROL 95.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,SHANGHAI E-TONG CHEMICAL CO. LTD.                                                    ,CHINA               ,644/2022       ,2022-10-11,2027-10-11,2023-07-30,INSECTICIDA,IV                  
7172,6567,CENTAURO                                                                                                                                                                                                ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A.(CIAGROPA)                                                    , TIAMETOXAM 20.000 %; CLORANTRANILIPROL 10.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A. (CIAGROPA)                                    ,PARAGUAY            ,644/2022       ,2022-10-11,2027-10-11,2023-07-30,INSECTICIDA,IV                  
7173,0,METOMIL CHD'S                                                                                                                                                                                           ,CHD'S AGROCHEMICALS S.A.I.C.                                                                        , METOMIL 21.500 %,SOLO EXPORTACION    ,CONCENTRADO SOLUBLE (SL)                                                                            ,CHD´S AGROCHEMICALS S.A.I.C.                                                         ,PARAGUAY            ,686/2022       ,2022-10-21,2027-10-21,2024-03-31,INSECTICIDA,II                  
7174,6574,MIND 900®                                                                                                                                                                                               ,INVERSIONES AGRICOLAS S.A.                                                                          , METOMIL 90.000 %,DEFINITIVO          ,POLVO SOLUBLE (SP)                                                                                  ,"NANJING ESSENCE FINE-CHEMICAL CO.,LTD.                                               ",CHINA               ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,INSECTICIDA,IB                  
7175,6581,CLODINAFOP ACE 24                                                                                                                                                                                       ,AGRO ACE S.A                                                                                        , CLODINAFOP PROPARGILICO 24.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,"JIANGSU XINNUO CHEMICALS CO., LTD                                                    ",CHINA               ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,HERBICIDA,III                 
7176,6592,FLUROXIPIR NORTOX 200 EC                                                                                                                                                                                ,NORTOX PARAGUAY S.A                                                                                 , FLUROXIPIR MEPTIL (EQUIVALENTE ÁCIDO DE FLUROXIPIR 20%) 28.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,LIER CROPSCIENCE CO. LTD.                                                            ,CHINA               ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,HERBICIDA,III                 
7178,6595,METHODO 90                                                                                                                                                                                              ,HODOAGRO PARAGUAY S.A.                                                                              , METOMIL 90.000 %,DEFINITIVO          ,POLVO SOLUBLE (SP)                                                                                  ,HANGZHOU GREEN FIELD CHEMICAL CO. LTD.                                               ,CHINA               ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,INSECTICIDA,IB                  
7179,6590,BIFENTRIN 20 TRANSGRANEL                                                                                                                                                                                ,TRANSGRANEL S.A.                                                                                    , BIFENTRINA 20.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,HANGZHOU GREEN FIELD CHEMICAL CO. LTD.                                               ,CHINA               ,710/2022       ,2022-10-28,2027-10-28,2023-07-30,INSECTICIDA,I.B                 
7180,6591,XTENDIMAX® 2                                                                                                                                                                                            ,BAYER S.A.                                                                                          ," SAL DE ETANOLAMINA DE DICAMBA (EQUIVALENTE A DICAMBA ACIDO 48
 61.300 %",DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,BAYER CROPSCIENCE LP - MUSCATINE PLANT                                               ,ESTADOS UNIDOS      ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,HERBICIDA,IV                  
7181,6586,AUTOR                                                                                                                                                                                                   ,PROQUIMUR PARAGUAY S.A.                                                                             , METRIBUZIN 48.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,SHANGHAI E-TONG CHEMICAL CO. LTD.                                                    ,CHINA               ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,HERBICIDA,II                  
7182,6570,TIOHODOCARB 80                                                                                                                                                                                          ,HODOAGRO PARAGUAY S.A.                                                                              , TIODICARB 80.000 %,DEFINITIVO          ,GRANULOS DISPERSABLES (WG)                                                                          ,HANGZHOU GREEN FIELD CHEMICAL CO. LTD.                                               ,CHINA               ,644/2022       ,2022-10-06,2027-10-06,2024-03-31,INSECTICIDA,III                 
7184,6578,BENEDITA                                                                                                                                                                                                ,TORNEO S.R.L.                                                                                       , BENZOATO DE EMAMECTINA 30.000 %,DEFINITIVO          ,GRANULOS DISPERSABLES (WG)                                                                          ,"JIANGSU AIJING AGROCHEMICAL CO.,LTD.                                                 ",CHINA               ,710/2022       ,2022-10-28,2027-10-28,2023-07-30,INSECTICIDA,IV                  
7185,6587,GLAMOR 88 SG                                                                                                                                                                                            ,AGROMOL S.A.                                                                                        , GLUFOSINATO DE AMONIO 88.000 %,DEFINITIVO          ,GRANULOS SOLUBLES (SG)                                                                              ,"ANHUI BIOCOMPOUNDS CHEMICALS CO., LTD.                                               ",CHINA               ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,HERBICIDA,IV                  
7186,6573,FIPRONIL 80 TRANSGRANEL                                                                                                                                                                                 ,TRANSGRANEL S.A.                                                                                    , FIPRONIL 80.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,HANGZHOU GREEN FIELD CHEMICAL CO. LTD.                                               ,CHINA               ,644/2022       ,2022-10-06,2027-10-06,2023-07-30,INSECTICIDA,II                  
7187,0,METOMIL 98%                                                                                                                                                                                             ,TECNOMYL S.A.                                                                                       , METOMIL 98.000 %,SOLO EXPORTACION    ,GRADO TECNICO (TC)                                                                                  ,YANCHENG LIMIN CHEMICAL CO. LTD.                                                     ,CHINA               ,686/2022       ,2022-10-21,2027-10-21,2024-03-31,INSECTICIDA,IB                  
7188,0,VICROYA TM ORA                                                                                                                                                                                          ,CORTEVA AGRISCIENCE PARAGUAY S.A                                                                    , METARILPICOXAMIDA 8.000 %; PICOXISTROBINA 12.000 %,EXPERIMENTAL        ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CTVA PROTEÇÃO DE CULTIVOS LTDA.                                                      ,BRASIL              ,686/2022       ,2022-10-21,2024-10-21,2024-03-31,FUNGICIDA,III                 
7189,0,CLETODIM 37%                                                                                                                                                                                            ,BIOSANITAS S.A.                                                                                     , CLETODIM 37.000 %,DEFINITIVO          ,TECNICO CONCENTRADO (TK)                                                                            ,"LIAONING CYNDA CHEMICAL CO., LTD                                                     ",CHINA               ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,HERBICIDA,III                 
7190,6579,TROPA 700®                                                                                                                                                                                              ,INVERSIONES AGRICOLAS S.A.                                                                          , ACETAMIPRID 70.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,"NANJING ESSENCE FINE-CHEMICAL CO.,LTD.                                               ",CHINA               ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,INSECTICIDA,III                 
7191,6580,ROYALE                                                                                                                                                                                                  ,TECNOMYL S.A.                                                                                       , MANCOZEB 40.000 %; TEBUCONAZOL 4.000 %,DEFINITIVO          ,DISPERSION OLEOSA (OD)                                                                              ,TECNOMYL S.A.                                                                        ,PARAGUAY            ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,FUNGICIDA,IV                  
7192,6576,MAGISTER GOLD                                                                                                                                                                                           ,TECNOMYL S.A.                                                                                       , TEBUCONAZOL 20.000 %; PICOXISTROBINA 12.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,TECNOMYL S.R.L.                                                                      ,PARAGUAY            ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,FUNGICIDA,IV                  
7193,6575,TOP CERIUM                                                                                                                                                                                              ,GUSTAVO ALEXANDRE BOSCON                                                                            , TRIBUTIL CITRATO 55.000 %,DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,VITAL BRASIL CHEMICAL INDUSTRIA E COMERCIO DE PRODUCTOS QUIMICOS LTDA                ,BRASIL              ,710/2022       ,2022-10-28,2027-10-27,2024-03-31,COADYUVANTE,IV                  
7194,6577,QUANTUM®                                                                                                                                                                                                ,TORNEO S.R.L.                                                                                       , PARAQUAT 33.000 %,DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,"JIANGSU AIJING AGROCHEMICAL CO.,LTD.                                                 ",CHINA               ,710/2022       ,2022-10-28,2027-10-28,2023-07-30,HERBICIDA,II                  
7195,6582,LIFELINE FLASH                                                                                                                                                                                          ,UPL PARAGUAY S.A.                                                                                   , GLUFOSINATO DE AMONIO 14.000 %; OXIFLUORFEN 5.000 %,DEFINITIVO          ,EMULSION ACEITE EN AGUA (EW)                                                                        ,UPL LIMITED                                                                          ,INDIA               ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,HERBICIDA,IV                  
7196,6583,BEETLE ULTRA                                                                                                                                                                                            ,AGROLATINA S.A.                                                                                     , ABAMECTINA 3.600 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,JIANGSU XINNUO CHEMICAL CO. LTD.                                                     ,CHINA               ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,INSECTICIDA ACARICIDA,II                  
7197,0,ABAMECTINA 95%                                                                                                                                                                                          ,AGROLATINA S.A.                                                                                     , ABAMECTINA 95.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,"JIANGSU XINNUO CHEMICALS CO., LTD                                                    ",CHINA               ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,INSECTICIDA,IB                  
7198,6593,AGROBUZIN® 48                                                                                                                                                                                           ,ADAKEM S.A.                                                                                         , METRIBUZIN 48.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,"NANJING ESSENCE FINE-CHEMICAL CO.,LTD.                                               ",CHINA               ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,HERBICIDA,II                  
7199,0,METRIBUZIN 97%                                                                                                                                                                                          ,ADAKEM S.A.                                                                                         , METRIBUZIN 97.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,"NANJING ESSENCE FINE-CHEMICAL CO.,LTD.                                               ",CHINA               ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,HERBICIDA,II                  
7200,6589,ARADDO®                                                                                                                                                                                                 ,ADAMA PARAGUAY S.R.L.                                                                               , CLETODIM 14.000 %; FLUROXIPIR MEPTIL 28.800 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,ADAMA Brasil S.A.                                                                    ,BRASIL              ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,HERBICIDA,IV                  
7201,6584,ACUSEC                                                                                                                                                                                                  ,RAINBOW AGROSCIENCES S.A.                                                                           , BICICLOPIRONA 20.000 %,DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,SHANDONG WEIFANG RAINBOW CHEMICAL CO. LTD.                                           ,CHINA               ,482/2022       ,2022-08-01,2027-08-01,2024-03-31,HERBICIDA,IV                  
7202,6585,BIOKATO                                                                                                                                                                                                 ,NOBILE S.A.                                                                                         , PSEUDOMONAS CHLORORAPHIS (CEPA CCTB19)(5.2 X 10EXP7 UFC/ML) 1.200 %; PSEUDOMONAS FLUORESCENS (CEPA CCTB03)(1.12 X 10EXP4 UFC/ML) 0.600 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,TOTAL BIOTECNOLOGIA INDUSTRIA E COMERCIO LTDA                                        ,BRASIL              ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,INSECTICIDA MICROBIOLOGICO,IV                  
7203,6588,PLETHORA                                                                                                                                                                                                ,ADAMA PARAGUAY S.R.L.                                                                               , Indoxacarb 24.000 %; NOVALURON 8.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,ADAMA MAKHTESHIM LTD                                                                 ,ISRAEL              ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,INSECTICIDA,III                 
7204,6594,NIMAXXA                                                                                                                                                                                                 ,UPL PARAGUAY S.A.                                                                                   ," BACILLUS PARALICHENIFORMIS CH2970 (MIN DE1,67 X 10 EXP 10 UFC/ML) 3.330 %; BACILLUS PARALICHENIFORMIS CH0273 (MIN 1,67 X 10 EXP 10 UFC/ML) 3.330 %; BACILLUS SUBTILIS CH4000 (MIN 1,67 X 10 EXP 10 UFC/ML) 3.330 %",DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,CHR. HANSEN INDÚSTRIA E COMERCIO LTDA.                                               ,BRASIL              ,710/2022       ,2022-10-28,2027-10-28,2024-03-31,NEMATICIDA MICROBIOLOGICO PARA TRATAMIENTO DE SEMILLAS,IV                  
7206,6599,FENZY 750 EC                                                                                                                                                                                            ,AGROMOL S.A.                                                                                        , FENPROPIMORF 75.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,"ANHUI BIOCOMPOUNDS CHEMICALS CO., LTD.                                               ",CHINA               ,               ,2022-11-22,2027-11-22,2024-03-31,FUNGICIDA,III                 
7207,6608,KABUKI                                                                                                                                                                                                  ,TECNOMYL S.A.                                                                                       , FLUROXIPIR MEPTIL 48.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,TECNOMYL S.A.                                                                        ,PARAGUAY            ,776/2022       ,2022-11-24,2027-11-24,2024-03-31,HERBICIDA,IV                  
7208,6609,CIATALONIL                                                                                                                                                                                              ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A.(CIAGROPA)                                                    , CLOROTALONIL 50.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A. (CIAGROPA)                                    ,PARAGUAY            ,776/2022       ,2022-11-22,2027-11-22,2023-07-30,FUNGICIDA,IV                  
7209,6596,SCOPE 320® ME                                                                                                                                                                                           ,NEW AGRO S.S.                                                                                       , ACETAMIPRID 20.000 %; PIRIPROXIFEN 12.000 %,DEFINITIVO          ,MICROEMULSION (ME)                                                                                  ,HENAN JINPENG CHEMICALS CO.LTD.                                                      ,CHINA               ,776/2022       ,2022-11-22,2027-11-22,2024-03-31,INSECTICIDA,II                  
7210,6597,RITMO 300 SC                                                                                                                                                                                            ,GLYMAX PARAGUAY S.A                                                                                 , IMAZETAPIR 20.000 %; FLUMIOXAZIN 10.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,"JIANGSU LIONCHEM CO., LTD.                                                           ",CHINA               ,776/2022       ,2022-11-22,2027-11-22,2024-03-31,HERBICIDA,IV                  
7211,6598,TORUS CIB 240 SC                                                                                                                                                                                        ,COMPAÑIA CIBELES PARAGUAY S.R.L.                                                                    , METOXIFENOCIDA 24.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,COMPAÑIA CIBELES S.A                                                                 ,URUGUAY             ,776/2022       ,2022-11-22,2027-11-22,2024-03-31,INSECTICIDA,II                  
7212,6600,ESENTO                                                                                                                                                                                                  ,UPL PARAGUAY S.A.                                                                                   , GLUFOSINATO-P-AMONIO 28.000 %,DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,UPL LIMITED                                                                          ,INDIA               ,776/2022       ,2022-11-02,2027-11-02,2024-03-31,HERBICIDA,III                 
7213,0,PICOXISTROBINA 98%                                                                                                                                                                                      ,BIOSANITAS S.A.                                                                                     , PICOXISTROBINA 98.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,JIANGSU FOPIA CHEMICALS CO. LTD                                                      ,CHINA               ,776/2022       ,2022-11-22,2027-11-22,2024-03-31,FUNGICIDA,III                 
7214,6606,CIANTRA PANTERA NEGRA                                                                                                                                                                                   ,AGRO PRIME S.A.                                                                                     , CIANTRANILIPROL 20.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,"CHIZHOU BIOAGRILAND MULTICHEM CO., LTD.                                              ",CHINA               ,776/2022       ,2022-11-22,2027-11-22,2023-07-30,INSECTICIDA,IV                  
7215,0,TIAMETOXAM 98%                                                                                                                                                                                          ,AKTRA S.A.                                                                                          , TIAMETOXAM 98.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,SHIJIAZHUANG RICHEM CO. LTD.                                                         ,CHINA               ,776/2022       ,2022-11-22,2027-11-22,2024-03-31,INSECTICIDA,IV                  
7216,6602,BUIK 800 WG                                                                                                                                                                                             ,AGROLATINA S.A.                                                                                     , CLORANTRANILIPROL 80.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,JIANGSU XINNUO CHEMICAL CO. LTD.                                                     ,CHINA               ,776/2022       ,2022-11-22,2027-11-22,2024-03-31,INSECTICIDA,IV                  
7217,6604,ECOTETRAN                                                                                                                                                                                               ,GUSTAVO ALEXANDRE BOSCON                                                                            ," BEAUVERIA BASSIANA AISLADO IBCB 66 (1,3X10EXP5 UFC/ML) 5.000 %; METARHIZIUM ANISOPLIAE AISLADO IBCB 425 1,1 X 10EXP5 (UFC/ML) 5.000 %",DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,VITAL BRASIL CHEMICAL INDUSTRIA E COMERCIO DE PRODUCTOS QUIMICOS LTDA                ,BRASIL              ,776/2022       ,2022-11-22,2027-11-21,2024-03-31,INSECTICIDA MICROBIOLOGICO,IV                  
7218,6603,ECOCORDY                                                                                                                                                                                                ,GUSTAVO ALEXANDRE BOSCON                                                                            , ISARIA FUMOSOROSEA ESALQ 3422 (5X10EXP9 CONIDIOS VIABLES /ML) 20.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,VITAL BRASIL CHEMICAL INDUSTRIA E COMERCIO DE PRODUCTOS QUIMICOS LTDA                ,BRASIL              ,776/2022       ,2022-11-22,2027-11-21,2024-03-31,INSECTICIDA MICROBIOLOGICO,III                 
7219,6601,UNION PRO FS                                                                                                                                                                                            ,AGROTEC S.A .                                                                                       , FLUDIOXONIL 2.500 %; METALAXIL 2.000 %; TIABENDAZOL 15.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA P/ TRAT. DE SEMILLA (FS)                                                     ,"NINGBO SUNJOY AGROSCIENCE CO.,LTD                                                    ",CHINA               ,776/2022       ,2022-11-22,2027-11-22,2024-03-31,FUNGICIDA,II                  
7220,6605,RIDER 70 WG                                                                                                                                                                                             ,CHD'S AGROCHEMICALS S.A.I.C.                                                                        , SAFLUFENACIL 70.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,"JIANGSU XINNUO CHEMICALS CO., LTD                                                    ",CHINA               ,776/2022       ,2022-11-22,2027-11-22,2023-07-30,HERBICIDA,IV                  
7221,0,SAFLUFENACIL 98%                                                                                                                                                                                        ,CHD'S AGROCHEMICALS S.A.I.C.                                                                        , SAFLUFENACIL 98.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,"JIANGSU XINNUO CHEMICALS CO., LTD                                                    ",CHINA               ,776/2022       ,2022-11-22,2027-11-22,2023-07-30,HERBICIDA,IV                  
7222,6607,ESCOZATE                                                                                                                                                                                                ,TAFIREL PARAGUAY S.A.                                                                               , DIFENOCONAZOL 25.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,"IPROCHEM (TIANMEN) CO., LTD.                                                         ",CHINA               ,776/2022       ,2022-11-22,2027-11-22,2023-07-30,FUNGICIDA,II                  
7223,0,2.4-D 98%                                                                                                                                                                                               ,TECNOMYL S.A.                                                                                       ," 2,4-D 98.000 %",DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,JIANGXI TIANYU CHEMICAL CO. LTD.                                                     ,CHINA               ,776/2022       ,2022-11-22,2027-11-22,2024-03-31,HERBICIDA,II                  
7224,0,CLORANTRANILIPROL 97%                                                                                                                                                                                   ,AGROLATINA S.A.                                                                                     , CLORANTRANILIPROL 97.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,JIANGSU XINNUO CHEMICAL CO. LTD.                                                     ,CHINA               ,776/2022       ,2022-11-22,2027-11-22,2024-03-31,INSECTICIDA,IV                  
7225,6610,IMIDACLOPRID 60 TRANSGRANEL                                                                                                                                                                             ,TRANSGRANEL S.A.                                                                                    , IMIDACLOPRID 60.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,"JIANGSU YUNFAN CHEMICAL CO., LTD                                                     ",CHINA               ,710/2022       ,2022-10-28,2027-10-28,2023-07-30,INSECTICIDA,II                  
7227,6611,ONLY MAX                                                                                                                                                                                                ,TECNOMYL S.A.                                                                                       , TIAMETOXAM 21.000 %; FENPROPATRINA 18.000 %,DEFINITIVO          ,DISPERSION OLEOSA (OD)                                                                              ,TECNOMYL S.A.                                                                        ,PARAGUAY            ,839/2022       ,2022-12-06,2027-12-06,2024-03-31,INSECTICIDA,I.B                 
7228,6619,COUGAR 240 EC                                                                                                                                                                                           ,GLYMAX PARAGUAY S.A                                                                                 , CLETODIM 24.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,"YIFAN BIOTECHNOLOGY GROUP CO., LTD                                                   ",CHINA               ,839/2022       ,2022-12-06,2027-12-06,2024-03-31,HERBICIDA,II                  
7229,6618,ZUPRESSOR 35 SL                                                                                                                                                                                         ,COMPAÑIA CIBELES PARAGUAY S.R.L.                                                                    ," IMAZAPIR SAL AMONICA (EQUIVALENTE A IMAZAPIR 26,3%) 27.900 %; IMAZAPIC SAL AMONICA (EQUIVALENTE A IMAZAPIC 8,65%) 9.140 %",DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,COMPAÑIA CIBELES S.A                                                                 ,URUGUAY             ,839/2022       ,2022-12-06,2027-12-06,2024-03-31,HERBICIDA,II                  
7230,6617,FLUROXIPIR P NORTOX                                                                                                                                                                                     ,NORTOX PARAGUAY S.A                                                                                 , FLUROXIPIR-MEPTIL (EQUIVALENTE ÁCIDO DE FLUROXIPIR 8%) 11.530 %; PICLORAM SAL TRIISOPROPANOLAMINA (EQUIVALENTE ÁCIDO DE PICLORAM 8%) 14.340 %,DEFINITIVO          ,MICROEMULSION (ME)                                                                                  ,NORTOX S.A.                                                                          ,BRASIL              ,839/2022       ,2022-12-06,2027-12-06,2024-03-31,HERBICIDA,II                  
7231,6616,SPINOKILL 480 SC                                                                                                                                                                                        ,AAGROCO PARAGUAY S.R.L.                                                                             , SPINOSAD 48.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,NINGBO GENERIC CHEMICAL Co. LTD                                                      ,CHINA               ,839/2022       ,2022-12-06,2027-12-06,2024-03-31,INSECTICIDA,II                  
